,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
251,0.0850806,0.12961336666666667,0.30142053333333335,0.6384986666666668,0.4541496666666667,1.6482363333333334,388.14466363636353,372.21867272727263,348.3637909090908,326.4653454545454,301.4359363636363,285.04745454545446,DAC,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
253,0.015138383333333335,0.046847900000000005,0.13371453333333336,0.30613403333333333,2.2233530000000004,7.534780000000001,233.1286909090909,214.17654545454542,200.5696636363636,187.1324727272727,177.52497272727268,171.75049090909087,OEW,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
255,,0.021371643333333332,0.09121090000000001,0.2853466,2.133277666666667,3.774906666666667,,258.27621818181814,211.51472727272724,177.83773636363634,179.98881818181815,216.2494363636363,TEW,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
257,,0.09995810000000001,0.2042978666666667,0.3713416666666667,3.4579343333333337,4.813453333333333,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,208.23902727272724,BECCS,MA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
259,0.04792883333333334,0.07517950000000001,0.15800436666666667,0.26981570000000005,0.33610903333333336,0.9952103333333335,432.62364545454534,413.117509090909,391.047709090909,376.9101272727272,351.82415454545446,352.1618727272727,DAC,MA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
261,,0.02599817,0.07374620000000001,0.1673620666666667,1.3190503333333334,4.236466666666667,,263.6031818181818,247.1980636363636,230.88943636363632,223.0470545454545,217.29253636363634,OEW,MA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
263,,,0.06689246666666668,0.1759351,0.5983706666666667,0.6993396666666668,,,237.06319090909088,210.79936363636358,290.28790909090907,396.11348181818175,TEW,MA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
265,,0.3328339666666667,0.7368056666666667,1.4495103333333335,6.71649,8.827683333333335,,212.00050909090905,193.72379999999995,177.02421818181816,187.20234545454542,246.23149090909087,BECCS,MI,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
267,0.367862,0.5625913333333333,1.440615,3.66949,1.8530233333333335,6.829936666666668,372.24529090909084,357.9696272727272,334.9249363636363,309.88887272727266,287.5612090909091,268.2164454545454,DAC,MI,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
269,0.011305983333333335,0.047001900000000006,0.2090132,0.698874,5.757766666666667,15.29597666666667,358.912909090909,299.9569636363636,248.6720454545454,209.5732636363636,197.06271818181816,205.00491818181814,TEW,MI,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
271,,0.22625863333333335,0.5019923333333334,0.9979933333333333,5.7486733333333335,7.212186666666668,,212.00050909090905,193.72379999999995,177.02421818181816,173.58714545454544,233.8490454545454,BECCS,MN,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
273,0.25214273333333337,0.4073116666666667,1.028148,2.792834,1.2610253333333334,4.721126666666667,371.2520999999999,354.27302727272723,332.5442727272727,305.61998181818177,287.8290545454545,269.32442727272723,DAC,MN,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
275,,0.0256707,0.11759330000000001,0.42054833333333336,4.45324,15.988536666666667,,322.6606090909091,265.05719999999997,219.19573636363634,189.00905454545452,179.34499090909088,TEW,MN,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
277,,0.12618393333333336,0.266695,0.5073273333333335,3.6099690000000004,6.464333333333333,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,189.7077818181818,BECCS,MS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
279,0.141339,0.21390563333333334,0.5293090000000001,1.2873043333333334,0.6349676666666667,2.2352293333333337,371.7378818181818,357.79827272727266,334.15300909090905,309.78739090909085,288.7107818181818,270.2843454545454,DAC,MS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
281,0.011729630000000001,0.03407697333333334,0.1014211,0.2448677,1.4774246666666668,4.657986666666667,276.9155999999999,260.3191636363636,242.94081818181812,225.67559999999995,217.87813636363632,211.60622727272724,OEW,MS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
283,,,0.05308123333333334,0.16851633333333335,1.5261143333333334,5.0072,,,279.8502545454545,237.28944545454542,215.53573636363635,206.5670727272727,TEW,MS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
285,,0.28440683333333333,0.6304430000000001,1.2258583333333333,6.3810633333333335,8.215570000000001,,212.00050909090905,193.72379999999995,177.02421818181816,181.7971909090909,241.03429090909088,BECCS,MO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
287,0.2617585666666667,0.4144396666666667,1.048894,2.4747213333333336,1.4432623333333334,5.223423333333334,384.4280999999999,366.9948545454545,343.4893363636363,320.06699999999995,298.3814999999999,280.3110818181818,DAC,MO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
289,,0.02985282666666667,0.1310782,0.4370116666666667,4.359336666666667,14.992193333333335,,331.1368363636363,275.8076181818181,231.76284545454538,206.41734545454543,197.2440545454545,TEW,MO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
291,,0.08530720000000001,0.19082506666666668,0.381502,2.728553666666667,6.41003,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,177.30370909090905,BECCS,MT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
293,0.0912505,0.16866080000000003,0.4632613333333334,1.288507,0.5312706666666667,2.0296283333333336,373.2185181818181,348.9111272727272,324.1412454545454,297.98721818181815,279.09496363636356,260.13449999999995,DAC,MT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
295,,,0.060273400000000005,0.21421033333333336,2.2800836666666666,9.808516666666668,,,239.9229818181818,199.19549999999995,171.74050909090906,153.86390454545452,TEW,MT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
