,Unnamed: 0,region,GCAM_region_ID,GCAM_commodity,GCAM_subsector,GLU,Irr_Rfd,kg_bio_ha,kg_P_ha,cat,Version
45,46,USA,1,FodderGrass,FodderGrass,GLU226,rfd,0.0,,GLU226_FodderGrass_USA,Upper CI
46,47,USA,1,FodderGrass,FodderGrass,GLU227,rfd,0.0,,GLU227_FodderGrass_USA,Lower CI
46,47,USA,1,FodderGrass,FodderGrass,GLU227,rfd,0.0,,GLU227_FodderGrass_USA,Median
46,47,USA,1,FodderGrass,FodderGrass,GLU227,rfd,0.0,,GLU227_FodderGrass_USA,Upper CI
47,48,USA,1,FodderGrass,FodderGrass,GLU228,rfd,0.0,,GLU228_FodderGrass_USA,Lower CI
47,48,USA,1,FodderGrass,FodderGrass,GLU228,rfd,0.0,,GLU228_FodderGrass_USA,Median
47,48,USA,1,FodderGrass,FodderGrass,GLU228,rfd,0.0,,GLU228_FodderGrass_USA,Upper CI
48,49,USA,1,FodderGrass,FodderGrass,GLU229,rfd,0.0,,GLU229_FodderGrass_USA,Lower CI
48,49,USA,1,FodderGrass,FodderGrass,GLU229,rfd,0.0,,GLU229_FodderGrass_USA,Median
48,49,USA,1,FodderGrass,FodderGrass,GLU229,rfd,0.0,,GLU229_FodderGrass_USA,Upper CI
49,50,USA,1,FodderGrass,FodderGrass,GLU230,rfd,0.0,,GLU230_FodderGrass_USA,Lower CI
49,50,USA,1,FodderGrass,FodderGrass,GLU230,rfd,0.0,,GLU230_FodderGrass_USA,Median
49,50,USA,1,FodderGrass,FodderGrass,GLU230,rfd,0.0,,GLU230_FodderGrass_USA,Upper CI
50,51,USA,1,FodderGrass,FodderGrass,GLU231,rfd,0.0,,GLU231_FodderGrass_USA,Lower CI
50,51,USA,1,FodderGrass,FodderGrass,GLU231,rfd,0.0,,GLU231_FodderGrass_USA,Median
50,51,USA,1,FodderGrass,FodderGrass,GLU231,rfd,0.0,,GLU231_FodderGrass_USA,Upper CI
51,52,USA,1,FodderGrass,FodderGrass,GLU232,rfd,0.0,,GLU232_FodderGrass_USA,Lower CI
51,52,USA,1,FodderGrass,FodderGrass,GLU232,rfd,0.0,,GLU232_FodderGrass_USA,Median
51,52,USA,1,FodderGrass,FodderGrass,GLU232,rfd,0.0,,GLU232_FodderGrass_USA,Upper CI
52,53,USA,1,FodderGrass,FodderGrass,GLU233,rfd,0.0,,GLU233_FodderGrass_USA,Lower CI
52,53,USA,1,FodderGrass,FodderGrass,GLU233,rfd,0.0,,GLU233_FodderGrass_USA,Median
52,53,USA,1,FodderGrass,FodderGrass,GLU233,rfd,0.0,,GLU233_FodderGrass_USA,Upper CI
53,54,USA,1,FodderHerb,FodderHerb,GLU023,rfd,0.0,,GLU023_FodderHerb_USA,Lower CI
53,54,USA,1,FodderHerb,FodderHerb,GLU023,rfd,0.0,,GLU023_FodderHerb_USA,Median
53,54,USA,1,FodderHerb,FodderHerb,GLU023,rfd,0.0,,GLU023_FodderHerb_USA,Upper CI
54,55,USA,1,FodderHerb,FodderHerb,GLU027,rfd,0.0,,GLU027_FodderHerb_USA,Lower CI
54,55,USA,1,FodderHerb,FodderHerb,GLU027,rfd,0.0,,GLU027_FodderHerb_USA,Median
54,55,USA,1,FodderHerb,FodderHerb,GLU027,rfd,0.0,,GLU027_FodderHerb_USA,Upper CI
55,56,USA,1,FodderHerb,FodderHerb,GLU096,rfd,0.0,,GLU096_FodderHerb_USA,Lower CI
55,56,USA,1,FodderHerb,FodderHerb,GLU096,rfd,0.0,,GLU096_FodderHerb_USA,Median
55,56,USA,1,FodderHerb,FodderHerb,GLU096,rfd,0.0,,GLU096_FodderHerb_USA,Upper CI
56,57,USA,1,FodderHerb,FodderHerb,GLU217,rfd,0.0,,GLU217_FodderHerb_USA,Lower CI
56,57,USA,1,FodderHerb,FodderHerb,GLU217,rfd,0.0,,GLU217_FodderHerb_USA,Median
56,57,USA,1,FodderHerb,FodderHerb,GLU217,rfd,0.0,,GLU217_FodderHerb_USA,Upper CI
57,58,USA,1,FodderHerb,FodderHerb,GLU218,rfd,0.0,,GLU218_FodderHerb_USA,Lower CI
57,58,USA,1,FodderHerb,FodderHerb,GLU218,rfd,0.0,,GLU218_FodderHerb_USA,Median
57,58,USA,1,FodderHerb,FodderHerb,GLU218,rfd,0.0,,GLU218_FodderHerb_USA,Upper CI
58,59,USA,1,FodderHerb,FodderHerb,GLU219,rfd,0.0,,GLU219_FodderHerb_USA,Lower CI
58,59,USA,1,FodderHerb,FodderHerb,GLU219,rfd,0.0,,GLU219_FodderHerb_USA,Median
58,59,USA,1,FodderHerb,FodderHerb,GLU219,rfd,0.0,,GLU219_FodderHerb_USA,Upper CI
59,60,USA,1,FodderHerb,FodderHerb,GLU220,rfd,0.0,,GLU220_FodderHerb_USA,Lower CI
59,60,USA,1,FodderHerb,FodderHerb,GLU220,rfd,0.0,,GLU220_FodderHerb_USA,Median
59,60,USA,1,FodderHerb,FodderHerb,GLU220,rfd,0.0,,GLU220_FodderHerb_USA,Upper CI
60,61,USA,1,FodderHerb,FodderHerb,GLU221,rfd,0.0,,GLU221_FodderHerb_USA,Lower CI
60,61,USA,1,FodderHerb,FodderHerb,GLU221,rfd,0.0,,GLU221_FodderHerb_USA,Median
