,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
483,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,-0.026489393359829215,-0.02864123805326325,-0.015660068915228184,-0.010000437532687702,-0.007889605370047282,SSP1,Lower CI,Northeastern EU,Staples,Northeastern EUStaples
484,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,-0.009157420825600227,-0.010684169127200605,-0.013221158245999565,-0.005583771401600046,-0.005408796001800553,SSP1,Median,Northeastern EU,Staples,Northeastern EUStaples
485,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,0.015347128239251245,0.023528242585662423,-0.0019018554004856603,-0.0021995101904169648,-0.003363434417801206,SSP1,Upper CI,Northeastern EU,Staples,Northeastern EUStaples
504,523.242858,581.44601,605.896086,608.646446,630.678656,,,,-0.5034684927298139,-0.983522928182385,-0.5436001714765137,-0.430612411712809,-0.4100109808412887,SSP1,Lower CI,Western EU,Non-Staples,Western EUNon-Staples
505,523.242858,581.44601,605.896086,608.646446,630.678656,,,,-0.4459058672640026,-0.4541883499440189,-0.37239774238003065,-0.2855475266520102,-0.30285077386798775,SSP1,Median,Western EU,Non-Staples,Western EUNon-Staples
506,523.242858,581.44601,605.896086,608.646446,630.678656,,,,0.11855411483292139,0.4072523083776564,-0.1824367422841137,-0.1541396730380346,-0.21301710613147912,SSP1,Upper CI,Western EU,Non-Staples,Western EUNon-Staples
525,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,-0.038236452137716065,-0.11946356194304453,-0.05474696314674034,-0.02274627088261542,-0.013019853179446062,SSP1,Lower CI,Western EU,Staples,Western EUStaples
526,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,-0.016511351560000165,-0.05234202662000165,-0.019436653646000224,0.0037457539779985893,0.0015673076680009501,SSP1,Median,Western EU,Staples,Western EUStaples
527,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,0.09997100379593671,0.17464714744563176,0.03200753703226453,0.02650453134832621,0.014679711026875463,SSP1,Upper CI,Western EU,Staples,Western EUStaples
546,71.834703,56.917258000000004,63.357045400000004,62.1816818,65.74335614,,,,-0.06671007119964081,-0.0740019168427026,-0.0501861655582911,-0.04349194373463359,-0.042576881068239425,SSP1,Lower CI,Eastern Europe,Non-Staples,Eastern EuropeNon-Staples
547,71.834703,56.917258000000004,63.357045400000004,62.1816818,65.74335614,,,,-0.0544038294528022,-0.05540993970449826,-0.03952163799108099,-0.03405601424799798,-0.03540138612348187,SSP1,Median,Eastern Europe,Non-Staples,Eastern EuropeNon-Staples
548,71.834703,56.917258000000004,63.357045400000004,62.1816818,65.74335614,,,,-0.006621138588297708,0.000900937343155446,-0.028498161495087836,-0.025314629547594815,-0.0275069152708729,SSP1,Upper CI,Eastern Europe,Non-Staples,Eastern EuropeNon-Staples
567,78.249844,88.412586,63.079912,62.24624,59.421416,,,,-0.0012520110481189957,-0.0061749191317416454,-0.004143713997874582,-0.0024574937313386414,-0.0021126682678172803,SSP1,Lower CI,Eastern Europe,Staples,Eastern EuropeStaples
568,78.249844,88.412586,63.079912,62.24624,59.421416,,,,0.00199750831040002,-0.0014578839729999515,-0.002556648163200115,-0.001442716631599894,-0.0014744373586000892,SSP1,Median,Eastern Europe,Staples,Eastern EuropeStaples
