,Crop,MGMT,Version,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,Units,cat
401,Nuts and Seeds,Low Intensity,Upper CI,113.120664706737,138.63856398842,154.31585654671,170.661732836765,182.706414145372,,,,194.8745994767881,193.14400938913886,192.98032580931488,193.03785220248244,194.38657976243633,,Nuts and SeedsLow Intensity
420,Other Crops,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,47.50838659782882,60.865577266035146,61.433619150015716,60.84514560438376,59.890422272943105,,Other CropsBiochar Application
421,Other Crops,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,65.75047339199583,71.76014437335839,70.16434795140769,69.68695965091462,68.79564259201256,,Other CropsBiochar Application
422,Other Crops,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,77.52463037661929,81.02775429020515,77.26335689756277,76.55220739604783,75.27298534564177,,Other CropsBiochar Application
441,Other Crops,High Intensity,Lower CI,1090.032422374371,940.929493584544,898.504441434984,891.550996656329,913.9745851621541,,,,853.2404237445465,807.9946374212295,782.6270204774964,773.933000740142,765.8637863829815,,Other CropsHigh Intensity
442,Other Crops,High Intensity,Median,1090.032422374371,940.929493584544,898.504441434984,891.550996656329,913.9745851621541,,,,860.2404539072544,819.72608508064,787.7745814861659,778.2208930667634,771.2467869206718,,Other CropsHigh Intensity
443,Other Crops,High Intensity,Upper CI,1090.032422374371,940.929493584544,898.504441434984,891.550996656329,913.9745851621541,,,,875.6580239044798,839.6520387586258,796.3533702170776,786.4900774993414,777.2846441929371,,Other CropsHigh Intensity
462,Other Crops,Low Intensity,Lower CI,1090.032418474459,940.929491084627,898.504440035008,891.550994356431,882.5033681015215,,,,760.0033332002967,725.6577531619185,702.5849583165942,691.6462254557342,685.1939296619772,,Other CropsLow Intensity
463,Other Crops,Low Intensity,Median,1090.032418474459,940.929491084627,898.504440035008,891.550994356431,882.5033681015215,,,,763.5743809802428,731.0541560633387,705.8935259455403,694.388813951845,687.9475919354069,,Other CropsLow Intensity
464,Other Crops,Low Intensity,Upper CI,1090.032418474459,940.929491084627,898.504440035008,891.550994356431,882.5033681015215,,,,771.054722150646,737.5672199132224,709.143029107273,698.0175703976921,691.2973280605571,,Other CropsLow Intensity
483,Plant Oils,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,37.06844911952968,56.244476294152285,63.15881202370403,66.46283970126886,67.19524995308203,,Plant OilsBiochar Application
484,Plant Oils,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,50.621908250105335,66.39306693471298,72.59613005027757,76.57364521809166,77.49765352480647,,Plant OilsBiochar Application
485,Plant Oils,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,60.33868145315024,74.79040042119476,79.74739098893752,84.07113396934146,84.96683296415273,,Plant OilsBiochar Application
504,Plant Oils,High Intensity,Lower CI,342.805956814502,454.285048009139,522.991169806598,584.039298408355,665.8454444839158,,,,771.8861102748338,825.0100020955448,878.5613394690088,918.2121134733194,933.6830844587821,,Plant OilsHigh Intensity
505,Plant Oils,High Intensity,Median,342.805956814502,454.285048009139,522.991169806598,584.039298408355,665.8454444839158,,,,776.843074990579,833.4410684954494,887.9154391189664,925.8469467787526,939.2634869569404,,Plant OilsHigh Intensity
506,Plant Oils,High Intensity,Upper CI,342.805956814502,454.285048009139,522.991169806598,584.039298408355,665.8454444839158,,,,794.3488182519718,866.1495703054865,900.0181130319252,935.8794679470763,947.8324675262722,,Plant OilsHigh Intensity
525,Plant Oils,Low Intensity,Lower CI,342.805953614481,454.285048009139,522.991169806598,584.039297908357,610.9796079977536,,,,576.4281354901897,579.6810787206705,581.0326606122125,583.1607941502832,583.6736247814636,,Plant OilsLow Intensity
526,Plant Oils,Low Intensity,Median,342.805953614481,454.285048009139,522.991169806598,584.039297908357,610.9796079977536,,,,578.6685313741497,581.8411706851338,583.4454552186213,585.6913577294533,585.9526541674302,,Plant OilsLow Intensity
527,Plant Oils,Low Intensity,Upper CI,342.805953614481,454.285048009139,522.991169806598,584.039297908357,610.9796079977536,,,,585.1521155288773,586.4537296063077,586.9320035316997,588.0734784904403,588.2977138419787,,Plant OilsLow Intensity
546,Rice,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,30.65821449880434,39.63872955006798,41.403772223293124,40.761427915379116,39.55360807594906,,RiceBiochar Application
547,Rice,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,42.91185957088667,47.2664645222245,47.41015099137173,46.55866272050563,45.152132047815776,,RiceBiochar Application
548,Rice,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,51.868052227954976,52.49812442328134,51.59262020405689,50.684909270193046,49.19559894149222,,RiceBiochar Application
567,Rice,High Intensity,Lower CI,523.934603737083,502.94204865513,504.16400759022997,507.295744893986,505.002657023075,,,,593.0808534882224,545.8032904747246,528.9958252312479,519.837719541151,506.7998920917696,,RiceHigh Intensity
568,Rice,High Intensity,Median,523.934603737083,502.94204865513,504.16400759022997,507.295744893986,505.002657023075,,,,606.2594405254897,561.51934427802,540.1460857856334,523.552327668112,509.6259442840778,,RiceHigh Intensity
569,Rice,High Intensity,Upper CI,523.934603737083,502.94204865513,504.16400759022997,507.295744893986,505.002657023075,,,,610.6136338217777,576.544999373135,547.4131370878624,529.0780137950342,515.017358844443,,RiceHigh Intensity
588,Rice,Low Intensity,Lower CI,523.93460293703,502.94204795513,504.16400689023,507.295744093986,491.768330180268,,,,438.9278998652071,413.72862973989646,407.55382995635375,404.1924965698593,400.50445590564823,,RiceLow Intensity
589,Rice,Low Intensity,Median,523.93460293703,502.94204795513,504.16400689023,507.295744093986,491.768330180268,,,,443.4660053379239,425.07624247980215,414.38395202487675,406.95751466260754,402.04866946395816,,RiceLow Intensity
590,Rice,Low Intensity,Upper CI,523.93460293703,502.94204795513,504.16400689023,507.295744093986,491.768330180268,,,,446.28562597336406,428.32317143983477,417.708653952153,408.9364862650877,404.1151976156866,,RiceLow Intensity
609,Roots and Tubers,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,2.9901879068005726,5.618951141822619,5.337093039302472,5.027420653711865,4.6122645581794846,,Roots and TubersBiochar Application
610,Roots and Tubers,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,4.160862207185629,7.0805474885051325,6.266618910637261,5.909235228172819,5.428971942868042,,Roots and TubersBiochar Application
611,Roots and Tubers,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,4.453381960948263,7.458222343020925,6.920343465499927,6.554954847700931,6.001162660808845,,Roots and TubersBiochar Application
630,Roots and Tubers,High Intensity,Lower CI,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,220.6872826417188,,,,197.06928079141906,178.31267163052792,172.02223795564916,168.7835524423847,164.15232230366132,,Roots and TubersHigh Intensity
631,Roots and Tubers,High Intensity,Median,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,220.6872826417188,,,,197.2106409248884,183.9071458665577,172.47160162202002,169.2583988480417,164.5943422931312,,Roots and TubersHigh Intensity
632,Roots and Tubers,High Intensity,Upper CI,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,220.6872826417188,,,,198.63659682635117,187.46873138037438,173.93199645965095,170.14543634008498,165.3430103301618,,Roots and TubersHigh Intensity
651,Roots and Tubers,Low Intensity,Lower CI,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,215.907610854413,,,,185.27392001066838,172.7025164168249,167.6892576565468,164.23243488677144,160.79183938536505,,Roots and TubersLow Intensity
652,Roots and Tubers,Low Intensity,Median,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,215.907610854413,,,,185.4721207531296,175.9916064035295,168.0118281404047,164.5717060359702,161.0909227078336,,Roots and TubersLow Intensity
653,Roots and Tubers,Low Intensity,Upper CI,197.646912337742,202.3735474632899,206.490871147681,219.655782108591,215.907610854413,,,,185.92526734161092,177.37521785418676,168.59030428732845,164.93159534595486,161.4209070111283,,Roots and TubersLow Intensity
672,Soybean,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,32.956687785174914,43.32954099081256,45.4227187132288,46.10242050135402,45.708418914676805,,SoybeanBiochar Application
673,Soybean,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,47.0084640067891,50.61742661302312,51.9328903668039,52.4912213643087,51.8966922524376,,SoybeanBiochar Application
674,Soybean,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,56.19965889289799,58.83385150337803,57.8728694253573,58.64082335753241,58.11440698155791,,SoybeanBiochar Application
693,Soybean,High Intensity,Lower CI,249.97993461751,381.51392272354,424.73772529649,500.75014628042,548.88944990249,,,,563.1020195118009,572.3422484655118,594.1349851429322,601.2658479495057,599.7557325635629,,SoybeanHigh Intensity
694,Soybean,High Intensity,Median,249.97993461751,381.51392272354,424.73772529649,500.75014628042,548.88944990249,,,,573.549548309331,589.362470394149,606.739012128692,609.592605238642,605.931885053441,,SoybeanHigh Intensity
695,Soybean,High Intensity,Upper CI,249.97993461751,381.51392272354,424.73772529649,500.75014628042,548.88944990249,,,,578.3861484111359,615.6564001189913,611.4792348965836,614.7116770026183,609.6928994536414,,SoybeanHigh Intensity
714,Soybean,Low Intensity,Lower CI,249.97993461751,381.51392272354,424.73772529649,500.75014628042,512.58725355064,,,,481.4312409863664,478.6871799878816,478.84154909492736,478.3449598690708,478.24673163853674,,SoybeanLow Intensity
715,Soybean,Low Intensity,Median,249.97993461751,381.51392272354,424.73772529649,500.75014628042,512.58725355064,,,,487.358468333673,483.394615443483,483.372843653554,481.741307042932,480.989732045268,,SoybeanLow Intensity
716,Soybean,Low Intensity,Upper CI,249.97993461751,381.51392272354,424.73772529649,500.75014628042,512.58725355064,,,,489.4455053892512,489.1650471965049,485.43727903062313,483.47111431303205,482.59226963716776,,SoybeanLow Intensity
735,Sugar Crops,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,0.9443757681236731,1.9436810895417458,2.051796608830449,1.9553134725682804,1.7067682405472997,,Sugar CropsBiochar Application
736,Sugar Crops,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,1.366713213814582,2.71241657766253,2.7760719975006873,2.6598298284513997,2.382304874697031,,Sugar CropsBiochar Application
737,Sugar Crops,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,1.4624326545759407,3.550557708814679,4.018723346533918,4.0978375007332755,3.795916341589563,,Sugar CropsBiochar Application
756,Sugar Crops,High Intensity,Lower CI,109.403428255951,103.552468535071,113.354676680315,120.033361910163,146.70687750742968,,,,197.61188365661926,212.30486385077722,222.88266084917177,230.58768517058698,231.81594806115262,,Sugar CropsHigh Intensity
757,Sugar Crops,High Intensity,Median,109.403428255951,103.552468535071,113.354676680315,120.033361910163,146.70687750742968,,,,200.241994994634,216.4707446104203,225.44319037508396,233.03944250951997,233.8951650997239,,Sugar CropsHigh Intensity
758,Sugar Crops,High Intensity,Upper CI,109.403428255951,103.552468535071,113.354676680315,120.033361910163,146.70687750742968,,,,201.68354899060833,220.55345947169354,227.13412987337097,238.72680120614896,237.15392686206027,,Sugar CropsHigh Intensity
777,Sugar Crops,Low Intensity,Lower CI,109.403428255951,103.552468535071,113.354676680315,120.033361910163,128.81306228352545,,,,129.20339372883961,129.7155537164678,130.0207335555458,130.9754333215271,131.34398328741722,,Sugar CropsLow Intensity
778,Sugar Crops,Low Intensity,Median,109.403428255951,103.552468535071,113.354676680315,120.033361910163,128.81306228352545,,,,129.84875950748133,130.76019657166643,130.79916099587973,131.5327425100139,131.86526310838548,,Sugar CropsLow Intensity
779,Sugar Crops,Low Intensity,Upper CI,109.403428255951,103.552468535071,113.354676680315,120.033361910163,128.81306228352545,,,,130.21420762021808,131.17900484777505,131.06153117850738,132.08185412931564,132.30411052770418,,Sugar CropsLow Intensity
798,Vegetables,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,6.297640199805751,9.475757748970869,9.550806623039083,9.090238762336385,8.404240326966692,,VegetablesBiochar Application
799,Vegetables,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,8.936208026833075,11.419279709566831,10.90196728146076,10.384234908220657,9.60780789958871,,VegetablesBiochar Application
800,Vegetables,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,9.497907592603395,12.771321901353241,12.384233167191503,11.887825898584962,11.024536168233377,,VegetablesBiochar Application
819,Vegetables,High Intensity,Lower CI,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,223.9390707134518,,,,299.30701651780424,302.57497573891555,304.9215012417028,313.04363779539216,317.1704805855863,,VegetablesHigh Intensity
820,Vegetables,High Intensity,Median,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,223.9390707134518,,,,299.801855290461,304.477270320078,306.20838575088845,314.229787461703,318.3367456088554,,VegetablesHigh Intensity
821,Vegetables,High Intensity,Upper CI,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,223.9390707134518,,,,302.2238254605872,306.7670378430762,307.6168295820779,315.62062085057204,319.5513441953298,,VegetablesHigh Intensity
840,Vegetables,Low Intensity,Lower CI,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,208.7775625331851,,,,207.10264819551102,203.15868685551538,200.98200051270263,200.36235904846757,199.74441827944986,,VegetablesLow Intensity
841,Vegetables,Low Intensity,Median,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,208.7775625331851,,,,207.3380732250429,204.61721555491349,201.95676365775424,201.25603071947168,200.47028636810606,,VegetablesLow Intensity
842,Vegetables,Low Intensity,Upper CI,135.644440492834,187.620010626541,192.017550913651,203.50765887319992,208.7775625331851,,,,208.46416953430113,205.70587032113139,202.266302266461,201.64535540755526,200.87704343079406,,VegetablesLow Intensity
861,Wheat,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,50.242714569419924,63.69948423616263,65.24767604091787,64.71282473454373,63.24548552559978,,WheatBiochar Application
862,Wheat,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,69.41551320757526,73.74551116595623,74.71477545934609,74.25806876367207,72.53463446788072,,WheatBiochar Application
863,Wheat,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,81.52898289085532,86.38969011430383,82.43162863587898,81.74156308489283,79.91522286435395,,WheatBiochar Application
882,Wheat,High Intensity,Lower CI,975.295532055563,916.70018057668,926.22230664376,911.401450210987,909.6362505718072,,,,926.7324191967012,860.971068877089,847.5647338690152,841.3129471822956,826.33815338465,,WheatHigh Intensity
883,Wheat,High Intensity,Median,975.295532055563,916.70018057668,926.22230664376,911.401450210987,909.6362505718072,,,,942.4638458108711,884.7314095029311,859.5240137490001,848.8525678917348,831.662343702409,,WheatHigh Intensity
884,Wheat,High Intensity,Upper CI,975.295532055563,916.70018057668,926.22230664376,911.401450210987,909.6362505718072,,,,964.5920693160032,947.8837957668075,877.9777670773068,857.020234808532,838.0623966898588,,WheatHigh Intensity
