,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
5264,0.0,0.0,0.0,0.0273849,0.0273849,,,,274.2404138552336,197.1145846505868,181.0395794503184,178.67163784689512,177.7838937138113,SSP1,Upper CI,Europe_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5613,0.0,0.0,0.0,0.0273849,0.0273849,,,,166.67544230846178,159.7436197001577,153.72645363081028,152.60254968917934,152.24700136527258,SSP1,Lower CI,Europe_Non_EU,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5613,0.0,0.0,0.0,0.0354564,0.0354564,,,,180.05941176470589,162.08588235294116,158.03529411764706,157.38411764705882,157.0535294117647,SSP1,Median,Europe_Non_EU,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5613,0.0,0.0,0.0,0.0273849,0.0273849,,,,223.9449498484009,185.35949448669345,173.19124945042216,171.37823462454617,170.61949723416723,SSP1,Upper CI,Europe_Non_EU,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5965,0.0,0.0,0.0,0.0273849,0.0273849,,,,160.90063342312783,151.8284115239423,148.34471088963798,147.8366885866232,147.54460308863605,SSP1,Lower CI,European Free Trade Association,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5965,0.0,0.0,0.0,0.0354564,0.0354564,,,,166.93764705882353,154.73,153.1541176470588,152.58470588235292,152.29235294117646,SSP1,Median,European Free Trade Association,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5965,0.0,0.0,0.0,0.0273849,0.0273849,,,,177.04459533504212,174.1140106213864,166.62946277982965,165.43950188956717,164.77702156122393,SSP1,Upper CI,European Free Trade Association,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
6384,0.0,0.0,0.0,0.0273849,-1.31922,,,,303.14571436650095,236.49424770471109,206.78475793937054,200.2036532770926,199.11830416440276,SSP1,Lower CI,India,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
6384,0.0,0.0,0.0,0.0354564,-1.31133,,,,359.24058823529407,246.43352941176468,212.8541176470588,205.47,204.37529411764703,SSP1,Median,India,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
6384,0.0,0.0,0.0,0.0273849,-1.31922,,,,407.5070960910153,286.96962772781484,242.57171264886478,234.3840778153443,232.6274661437205,SSP1,Upper CI,India,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
