,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
316,13.9068433,23.5464056,26.0660441,29.2123956,34.04684758,,,,0.0779879699999985,0.06995391000000141,0.07475724000000095,0.06708667000000043,0.05311321999999728,SSP1,Median,Northern Africa,missingmissingmissingmissingmissingmissingmissingmissing,Protein,BeefDairyOtherMeat_FishPorkPoultrySheepGoatLegumesNutsSeeds,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,Pcal,Northern AfricaProtein
317,13.9068433,23.5464056,26.0660441,29.2123956,34.04684758,,,,0.0790965002704867,0.08903433723173323,0.08808389231606666,0.07257548831348215,0.06034091642955649,SSP1,Upper CI,Northern Africa,missingmissingmissingmissingmissingmissingmissingmissing,Protein,BeefDairyOtherMeat_FishPorkPoultrySheepGoatLegumesNutsSeeds,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,Pcal,Northern AfricaProtein
336,7.30542,12.5605,13.2946,14.0422,14.4901,,,,-0.2974333813529528,-0.32569963475443403,-0.2528852888769561,-0.23416420201950167,-0.22038701159952173,SSP1,Lower CI,Northern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRice
337,7.30542,12.5605,13.2946,14.0422,14.4901,,,,-0.2896000000000001,-0.26060000000000016,-0.24399999999999977,-0.2298000000000009,-0.21799999999999997,SSP1,Median,Northern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRice
338,7.30542,12.5605,13.2946,14.0422,14.4901,,,,-0.25656661864704694,-0.2321709534808602,-0.23502899683733033,-0.22854055988526223,-0.2172225122100015,SSP1,Upper CI,Northern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRice
357,2.42319,4.1154,5.17383,5.76874,5.9801,,,,0.0011524367224550911,-0.03612290082236478,-0.0038553278227719317,0.0031405787307976895,0.005605938630022741,SSP1,Lower CI,Northern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRoots and Tubers
358,2.42319,4.1154,5.17383,5.76874,5.9801,,,,0.0036800000000001276,-0.0044599999999999085,0.0011099999999997223,0.005819999999999936,0.007220000000000226,SSP1,Median,Northern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRoots and Tubers
359,2.42319,4.1154,5.17383,5.76874,5.9801,,,,0.012694229944211596,0.01684760670471861,0.006266756394200229,0.008191802221582854,0.008847394703310456,SSP1,Upper CI,Northern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaRoots and Tubers
378,1.8968,2.99135,9.32895,14.2947,16.4616,,,,-0.2253802451212253,-0.3496237403761795,-0.28308130599928866,-0.2978267997546013,-0.2957601037752353,SSP1,Lower CI,Northern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaSugar Crops
379,1.8968,2.99135,9.32895,14.2947,16.4616,,,,-0.21969999999999956,-0.2577999999999996,-0.28020000000000067,-0.2884999999999991,-0.2896000000000001,SSP1,Median,Northern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaSugar Crops
380,1.8968,2.99135,9.32895,14.2947,16.4616,,,,-0.20781975487877563,0.0011649168467664228,-0.2732996463816633,-0.28534462881682526,-0.2845065628914304,SSP1,Upper CI,Northern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaSugar Crops
399,67.7341,83.7821,83.5762,85.7957,89.581,,,,0.21398508528448418,0.10650766552440613,0.20106340521511015,0.18150289404643202,0.16335241613256157,SSP1,Lower CI,Northern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaWheat
400,67.7341,83.7821,83.5762,85.7957,89.581,,,,0.3200000000000074,0.23669999999999902,0.21309999999999718,0.18710000000000093,0.16740000000000066,SSP1,Median,Northern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaWheat
401,67.7341,83.7821,83.5762,85.7957,89.581,,,,0.3437926924933011,0.4776688050638298,0.2546604043086994,0.20103043928690914,0.17440948862935485,SSP1,Upper CI,Northern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaWheat
420,24.813,33.285,34.8272,37.9047,40.8664,,,,0.056317911533200864,-0.04269361122734855,0.029719065357580884,0.04086684940013585,0.04295682072104346,SSP1,Lower CI,Southern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Southern AfricaCorn
421,24.813,33.285,34.8272,37.9047,40.8664,,,,0.07680000000000575,0.04279999999999973,0.040500000000001535,0.04720000000000368,0.04590000000000316,SSP1,Median,Southern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Southern AfricaCorn
422,24.813,33.285,34.8272,37.9047,40.8664,,,,0.07681542180014034,0.07496419946264646,0.04838569654718475,0.05297124583796704,0.050738417374200255,SSP1,Upper CI,Southern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Southern AfricaCorn
441,1.867835,3.636795,4.7165,6.73442,8.25681,,,,-0.01814324449200055,-0.04016631082904637,-0.03984445331576251,-0.04242572816458733,-0.04603852581783101,SSP1,Lower CI,Southern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Southern AfricaFruits and Vegetables
442,1.867835,3.636795,4.7165,6.73442,8.25681,,,,-0.016850000000001142,-0.024860000000001214,-0.033879999999998134,-0.038079999999999004,-0.04238999999999926,SSP1,Median,Southern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Southern AfricaFruits and Vegetables
443,1.867835,3.636795,4.7165,6.73442,8.25681,,,,-0.011721199952444935,-0.013670159759190687,-0.029612689541377586,-0.03346093850207881,-0.03829290275359522,SSP1,Upper CI,Southern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Southern AfricaFruits and Vegetables
462,0.0449481,0.152493,0.191099,0.193953,0.238028,,,,-0.00016623510995927306,-0.0005883369234501914,-0.0005112105880692242,-0.0004986044460800929,-0.0005114062658872061,SSP1,Lower CI,Southern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Southern AfricaOther Crops
