,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
235,0.40583400000000003,0.4954143333333334,0.9811486666666667,1.8957620000000002,0.6931210000000001,1.4995530000000001,371.7345545454545,357.76499999999993,334.4208545454545,312.7919181818181,280.1081181818181,255.04543636363633,DAC,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
237,0.03827853333333334,0.08411736666666667,0.20145656666666667,0.4107546666666667,1.53417,2.763390666666667,265.34500909090906,254.7975545454545,237.81848181818177,221.09061818181812,214.93349999999998,208.0277454545454,OEW,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
239,0.010190693333333334,0.030921109999999998,0.10249543333333334,0.2750487666666667,1.5810446666666669,3.288387666666667,382.90587272727265,330.19355454545445,276.54627272727265,234.59768181818177,212.78740909090905,196.3107545454545,TEW,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
241,,,0.03206181,0.04985236666666667,0.26590630000000004,0.5994376666666666,,,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
243,0.01080618,,,,,,432.5088545454544,,,,,,DAC,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
245,,,,,0.09794913333333334,0.18757493333333336,,,,,225.66062727272725,217.73007272727267,OEW,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
247,,,,,0.1886247,0.43642500000000006,,,,,181.37961818181816,164.31303818181817,TEW,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
249,,0.07752946666666667,0.128194,0.20053696666666668,1.0200043333333335,2.235709666666667,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
251,0.08507143333333335,0.10410656666666668,0.19575746666666669,0.3423878333333334,0.17815453333333336,0.38439133333333336,388.1413363636363,372.1604454545454,348.2290363636363,328.1123454545454,289.38788181818177,265.8324545454545,DAC,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
253,0.015136476666666667,0.03762586666666667,0.08667596666666667,0.17008603333333336,0.7838673333333334,1.524358,233.12702727272725,214.11831818181815,200.53639090909087,187.01435454545452,176.60331818181814,167.94575454545452,OEW,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
