C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,45,20,50.79,62.72,3.8,3.77,2.61,24.67,57.72,91.21,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,5,50,52.29,61,4.06,4.03,2.64,24.2,58.3,91.34,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,15,50,49.66,59.78,3.56,3.53,2.61,22.83,52.23,85.01,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,45,50,49.65,61.12,3.6,3.57,2.49,23.56,53.89,86.9,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,5,5,50.42,61.28,3.42,3.39,2.72,23.34,54.21,88.47,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,15,5,48.77,63.39,3.69,3.66,2.7,24.91,55.97,88.52,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,45,5,48.21,60.63,3.19,3.16,2.61,22.68,50.37,83.7,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,5,20,50.12,59.45,3.3,3.28,2.51,22.24,51.36,85.31,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,15,20,46.86,62.68,3.28,3.25,2.83,23.89,51.58,84.11,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,45,20,47.21,61.91,3.27,3.25,2.7,23.53,51.17,83.68,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,5,50,46.87,61.41,3.31,3.28,2.4,23.29,50.29,82.42,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,15,50,45.76,62.43,3.29,3.26,2.41,23.63,49.82,81.8,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,410,45,50,45.55,61.49,2.97,2.95,2.55,22.81,47.88,80.21,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,5,5,47.47,63.05,3.15,3.12,2.6,23.86,52.18,85.7,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,15,5,45.98,61.5,2.76,2.74,2.58,22.44,47.54,80.97,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,45,5,44.03,65.86,2.93,2.91,2.62,24.94,50.6,83.02,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,450,5,20,46.76,62.3,2.99,2.96,2.7,23.25,50.08,83.41,,,,
