sample_id,dataset_scope,data_tier,recommended_split,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0069,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,180,30,66.18,11.26,64.22,56.13
Wet-Waste-Biomass-Opt::htc::0070,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,220,30,60.58,10.54,55.02,47.49
Wet-Waste-Biomass-Opt::htc::0071,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,260,30,56.23,12.4,60.1,54.52
Wet-Waste-Biomass-Opt::htc::0072,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,300,30,53.0,11.74,53.62,46.46
Wet-Waste-Biomass-Opt::htc::0073,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,260,60,58.51,12.62,63.63,57.25
Wet-Waste-Biomass-Opt::htc::0074,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,260,60,59.37,11.93,61.06,57.24
Wet-Waste-Biomass-Opt::htc::0075,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,260,360,63.32,10.29,56.19,50.34
Wet-Waste-Biomass-Opt::htc::0076,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Peng et al., 2016)",htc,Sludge,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,260,480,66.19,11.41,65.12,63.78
Wet-Waste-Biomass-Opt::htc::0077,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Yu et al., 2018)",htc,Sludge,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,160,60,62.11,17.02,53.41,63.2
Wet-Waste-Biomass-Opt::htc::0078,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Yu et al., 2018)",htc,Sludge,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,200,60,43.15,17.77,38.74,45.49
Wet-Waste-Biomass-Opt::htc::0079,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Yu et al., 2018)",htc,Sludge,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,240,60,32.42,19.38,31.75,36.88
Wet-Waste-Biomass-Opt::htc::0080,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,,htc,Sludge,sludge,32.6,4.8,5.5,21.2,80.0,55.9,8.2,35.9,250,1200,25.6,13.08,23.78,21.83
Wet-Waste-Biomass-Opt::htc::0081,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Reza et al., 2018)",htc,Sludge,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,180,30,82.2,16.16,87.6,86.77
Wet-Waste-Biomass-Opt::htc::0082,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Reza et al., 2018)",htc,Sludge,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,220,30,60.4,16.88,67.23,66.44
Wet-Waste-Biomass-Opt::htc::0083,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Reza et al., 2018)",htc,Sludge,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,260,30,50.2,16.66,55.17,53.97
Wet-Waste-Biomass-Opt::htc::0084,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Ma et al., 2018)",htc,Lignin/cellulose,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,160,60,79.9,16.6,86.39,84.58
