sample_id,recommended_split,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::pyrolysis::0095,train,49.65,7.54,4.03,38.13,78.71,14.08,1.83,20.98,500,60,5.0,29.83,28.96,41.18,44.68
Wet-Waste-Biomass-Opt::pyrolysis::0096,test,49.65,7.54,4.03,38.13,78.71,14.08,1.83,20.98,600,60,5.0,29.28,28.52,39.8,44.74
Wet-Waste-Biomass-Opt::pyrolysis::0097,test,49.65,7.54,4.03,38.13,78.71,14.08,1.83,20.98,800,60,5.0,27.87,27.23,36.17,43.89
Wet-Waste-Biomass-Opt::pyrolysis::0098,validation,46.82,6.33,0.16,44.65,79.2,18.61,2.05,18.2,350,70,5.0,40.36,25.32,56.17,58.75
Wet-Waste-Biomass-Opt::pyrolysis::0099,validation,47.59,5.82,0.78,43.38,68.99,28.57,2.43,18.8,350,70,5.0,46.93,25.97,64.82,63.1
Wet-Waste-Biomass-Opt::pyrolysis::0100,train,45.52,6.26,0.24,43.83,83.03,12.97,4.0,17.57,350,70,5.0,41.34,24.35,57.3,59.05
Wet-Waste-Biomass-Opt::pyrolysis::0101,train,33.59,5.81,2.11,41.07,65.15,17.43,17.4,11.8,350,70,5.0,56.41,17.24,82.44,76.47
Wet-Waste-Biomass-Opt::pyrolysis::0102,train,43.52,5.77,0.04,50.34,78.55,9.88,0.28,17.0,315,30,14.2,50.88,26.06,77.99,87.27
Wet-Waste-Biomass-Opt::pyrolysis::0103,train,43.52,5.77,0.04,50.34,78.55,9.88,0.28,16.71,330,30,25.5,32.81,28.94,56.83,59.53
Wet-Waste-Biomass-Opt::pyrolysis::0104,train,43.52,5.77,0.04,50.34,78.55,9.88,0.28,16.71,425,30,51.5,27.37,30.86,50.55,53.36
Wet-Waste-Biomass-Opt::pyrolysis::0105,test,43.52,5.77,0.04,50.34,78.55,9.88,0.28,16.71,490,30,57.6,21.93,31.3,41.09,44.44
Wet-Waste-Biomass-Opt::pyrolysis::0106,train,43.52,5.77,0.04,50.34,78.55,9.88,0.28,16.71,560,30,76.8,20.7,31.36,38.86,43.15
Wet-Waste-Biomass-Opt::pyrolysis::0107,train,45.46,5.32,0.18,40.6,74.2,17.4,0.8,17.96,400,45,30.0,26.19,28.7,41.84,43.49
Wet-Waste-Biomass-Opt::pyrolysis::0108,train,45.46,5.32,0.18,40.6,74.2,17.4,0.8,17.96,500,45,30.0,22.22,31.89,39.46,40.47
Wet-Waste-Biomass-Opt::pyrolysis::0109,train,45.46,5.32,0.18,40.6,74.2,17.4,0.8,17.96,600,45,30.0,20.24,32.54,36.67,39.4
Wet-Waste-Biomass-Opt::pyrolysis::0110,train,31.31,3.33,1.08,36.44,53.1,19.2,17.0,14.88,400,45,30.0,26.56,23.62,42.16,46.66
Wet-Waste-Biomass-Opt::pyrolysis::0111,train,31.31,3.33,1.08,36.44,53.1,19.2,17.0,14.88,500,45,30.0,18.92,26.0,33.07,35.6
Wet-Waste-Biomass-Opt::pyrolysis::0112,test,31.31,3.33,1.08,36.44,53.1,19.2,17.0,14.88,600,45,30.0,17.93,28.18,33.96,35.79
Wet-Waste-Biomass-Opt::pyrolysis::0113,train,32.0,50.57,1.97,15.46,61.25,11.56,27.36,15.18,400,60,20.0,51.35,12.43,42.05,56.0
Wet-Waste-Biomass-Opt::pyrolysis::0114,test,32.0,50.57,1.97,15.46,61.25,11.56,27.36,15.18,500,60,20.0,45.76,12.15,36.63,49.94
Wet-Waste-Biomass-Opt::pyrolysis::0115,train,32.0,50.57,1.97,15.46,61.25,11.56,27.36,15.18,600,60,20.0,44.02,10.97,31.81,45.44
Wet-Waste-Biomass-Opt::pyrolysis::0116,train,32.14,48.46,1.64,17.77,65.88,14.07,20.69,15.26,400,60,20.0,48.21,15.32,48.4,63.41
Wet-Waste-Biomass-Opt::pyrolysis::0117,train,32.14,48.46,1.64,17.77,65.88,14.07,20.69,15.26,500,60,20.0,43.32,15.3,43.43,58.01
Wet-Waste-Biomass-Opt::pyrolysis::0118,train,32.14,48.46,1.64,17.77,65.88,14.07,20.69,15.26,600,60,20.0,39.83,15.87,41.42,55.32
Wet-Waste-Biomass-Opt::pyrolysis::0119,train,32.86,45.98,1.59,19.57,63.02,13.23,23.81,13.72,400,60,20.0,50.66,14.46,53.39,62.51
Wet-Waste-Biomass-Opt::pyrolysis::0120,train,32.86,45.98,1.59,19.57,63.02,13.23,23.81,13.72,500,60,20.0,46.46,13.75,46.56,56.39
Wet-Waste-Biomass-Opt::pyrolysis::0121,train,32.86,45.98,1.59,19.57,63.02,13.23,23.81,13.72,600,60,20.0,44.02,14.76,47.35,55.63
Wet-Waste-Biomass-Opt::pyrolysis::0122,test,30.27,48.59,3.39,17.76,62.67,10.71,26.68,12.77,400,60,20.0,49.26,13.72,52.92,61.17
Wet-Waste-Biomass-Opt::pyrolysis::0123,train,30.27,48.59,3.39,17.76,62.67,10.71,26.68,12.77,500,60,20.0,44.72,13.05,45.7,54.34
Wet-Waste-Biomass-Opt::pyrolysis::0124,validation,30.27,48.59,3.39,17.76,62.67,10.71,26.68,12.77,600,60,20.0,42.62,13.44,44.86,52.76
Wet-Waste-Biomass-Opt::pyrolysis::0125,test,31.48,49.93,2.03,16.56,63.54,8.66,27.88,14.27,400,60,20.0,50.66,12.97,46.04,56.94
Wet-Waste-Biomass-Opt::pyrolysis::0126,train,31.48,49.93,2.03,16.56,63.54,8.66,27.88,14.27,500,60,20.0,46.81,11.76,38.58,49.63
Wet-Waste-Biomass-Opt::pyrolysis::0127,train,31.48,49.93,2.03,16.56,63.54,8.66,27.88,14.27,600,60,20.0,44.72,11.91,37.32,48.02
Wet-Waste-Biomass-Opt::pyrolysis::0128,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,10,5.0,41.91,24.1,63.92,61.27
Wet-Waste-Biomass-Opt::pyrolysis::0129,validation,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,20,5.0,41.99,23.1,61.39,62.69
Wet-Waste-Biomass-Opt::pyrolysis::0130,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,40,5.0,43.28,23.8,65.19,58.32
Wet-Waste-Biomass-Opt::pyrolysis::0131,validation,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,10,5.0,32.08,24.0,48.73,54.31
Wet-Waste-Biomass-Opt::pyrolysis::0132,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,20,5.0,30.87,23.0,44.94,52.99
Wet-Waste-Biomass-Opt::pyrolysis::0133,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,40,5.0,29.92,24.4,46.2,52.14
Wet-Waste-Biomass-Opt::pyrolysis::0134,validation,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,10,5.0,50.0,21.6,68.35,66.07
Wet-Waste-Biomass-Opt::pyrolysis::0135,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,20,5.0,45.25,22.1,63.29,65.07
Wet-Waste-Biomass-Opt::pyrolysis::0136,validation,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,40,5.0,37.22,22.3,52.53,55.03
Wet-Waste-Biomass-Opt::pyrolysis::0137,test,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,10,5.0,29.96,24.7,46.84,49.36
Wet-Waste-Biomass-Opt::pyrolysis::0138,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,20,5.0,29.48,25.1,46.84,49.98
Wet-Waste-Biomass-Opt::pyrolysis::0139,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,40,5.0,28.94,23.5,43.04,49.19
Wet-Waste-Biomass-Opt::pyrolysis::0140,test,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,10,5.0,41.46,24.6,64.56,61.21
Wet-Waste-Biomass-Opt::pyrolysis::0141,validation,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,20,5.0,39.43,24.6,61.39,59.05
Wet-Waste-Biomass-Opt::pyrolysis::0142,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,350,40,5.0,37.45,24.3,57.59,57.6
Wet-Waste-Biomass-Opt::pyrolysis::0143,train,42.0,5.5,0.1,44.9,77.2,15.3,7.4,15.8,650,10,5.0,29.84,24.8,46.84,51.01
