sample_id,dataset_scope,data_tier,row_origin,recommended_split,recommended_sample_weight,recommended_ml_use,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,manure_subtype,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0143,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,250.0,720.0,45.0,31.86,63.95,60.43
Wet-Waste-Biomass-Opt::htc::0144,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,150.0,60.0,17.79,7.93,7.01,10.73
Wet-Waste-Biomass-Opt::htc::0145,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,150.0,90.0,21.54,15.93,17.05,18.4
Wet-Waste-Biomass-Opt::htc::0146,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,150.0,120.0,20.7,18.15,18.67,19.22
Wet-Waste-Biomass-Opt::htc::0147,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,180.0,60.0,22.91,26.59,30.27,27.55
Wet-Waste-Biomass-Opt::htc::0148,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,180.0,90.0,26.7,23.84,31.63,30.49
Wet-Waste-Biomass-Opt::htc::0149,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,180.0,120.0,30.75,20.43,31.2,32.62
Wet-Waste-Biomass-Opt::htc::0150,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,210.0,60.0,21.95,23.81,25.97,25.6
Wet-Waste-Biomass-Opt::htc::0151,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,210.0,90.0,29.27,22.11,32.15,31.9
Wet-Waste-Biomass-Opt::htc::0152,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017a)",htc,Food waste,food_waste,,0.0,1.0,43.09,6.91,11.47,23.8,50.0,83.77,1.5,14.73,210.0,120.0,34.49,21.74,37.24,37.87
Wet-Waste-Biomass-Opt::htc::0153,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,150.0,60.0,18.52,16.36,15.02,16.77
Wet-Waste-Biomass-Opt::htc::0154,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,150.0,90.0,22.78,20.24,22.86,23.5
Wet-Waste-Biomass-Opt::htc::0155,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,150.0,120.0,20.7,20.6,21.14,21.66
Wet-Waste-Biomass-Opt::htc::0156,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,180.0,60.0,27.62,18.13,24.82,27.38
Wet-Waste-Biomass-Opt::htc::0157,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,180.0,90.0,27.18,20.38,27.46,28.99
Wet-Waste-Biomass-Opt::htc::0158,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,180.0,120.0,28.74,20.3,28.92,30.5
Wet-Waste-Biomass-Opt::htc::0159,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,210.0,60.0,24.87,20.38,25.12,26.81
Wet-Waste-Biomass-Opt::htc::0160,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,210.0,90.0,28.48,20.57,29.04,31.2
Wet-Waste-Biomass-Opt::htc::0161,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Saqib et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,39.0,7.32,5.7,41.57,50.0,79.11,14.48,6.41,210.0,120.0,35.41,21.72,38.13,40.46
Wet-Waste-Biomass-Opt::htc::0162,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhai et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,51.14,7.63,3.45,26.31,75.0,72.55,15.98,11.47,200.0,60.0,7.0,27.82,12.01,11.28
Wet-Waste-Biomass-Opt::htc::0163,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhai et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,51.14,7.63,3.45,26.31,75.0,72.55,15.98,11.47,250.0,60.0,5.95,30.05,11.03,10.39
